speakerid,Age,L1,L1_coded,Sex,WER,MER,Norm_area
1088,20,English_BI,1,1,0.028985507,0.028985507,647.818078
1635,20,English_BI,1,0,0.028985507,0.028169014,709.054134
1724,20,English_BI,1,0,0.028985507,0.028985507,1294.87104
421,21,English_BI,1,0,0.028985507,0.028985507,1016.53897
1428,22,English_BI,1,1,0.028985507,0.028985507,381.104435
506,22,English_BI,1,1,0.028985507,0.028985507,1295.26114
869,24,English_BI,1,0,0.028985507,0.028985507,899.59567
1672,24,English_BI,1,0,0.028985507,0.028985507,666.575052
68,35,English_BI,1,1,0.028985507,0.028571429,1026.05449
1108,37,English_BI,1,1,0.028985507,0.028985507,1292.27246
1554,37,English_BI,1,1,0.028985507,0.028571429,469.154649
549,38,English_BI,1,0,0.028985507,0.028985507,1197.83795
100,53,English_BI,1,0,0.028985507,0.028985507,693.689393
521,18,English_BI,1,0,0.014492754,0.014285714,1108.43516
2081,22,English_BI,1,0,0.014492754,0.014492754,458.585873
439,31,English_BI,1,0,0.014492754,0.014492754,1913.08351
536,33,English_BI,1,0,0.014492754,0.014285714,1445.74391
144,34,English_BI,1,0,0.014492754,0.014285714,1886.44027
1310,36,English_BI,1,0,0.014492754,0.014492754,972.353682
71,40,English_BI,1,0,0.014492754,0.014285714,801.107603
70,69,English_BI,1,0,0.014492754,0.014285714,1680.27799
1076,18,English_BI,1,0,0,0,1087.00449
1215,18,English_BI,1,1,0,0,548.356972
1241,18,English_BI,1,1,0,0,791.326753
2012,19,English_BI,1,1,0,0,939.62775
1561,19,English_BI,1,1,0,0,773.615678
117,20,English_BI,1,0,0,0,1333.26153
1373,20,English_BI,1,1,0,0,2273.65644
1650,20,English_BI,1,0,0,0,760.832962
857,21,English_BI,1,0,0,0,605.895924
1093,24,English_BI,1,1,0,0,1014.84132
1294,25,English_BI,1,1,0,0,1236.66197
97,27,English_BI,1,0,0,0,1359.70032
77,30,English_BI,1,1,0,0,1061.78816
135,31,English_BI,1,0,0,0,440.466755
680,35,English_BI,1,1,0,0,1037.8852
1692,35,English_BI,1,1,0,0,1818.89401
604,38,English_BI,1,0,0,0,1367.1781
1295,43,English_BI,1,0,0,0,1553.44798
119,46,English_BI,1,1,0,0,1783.22212
1292,52,English_BI,1,0,0,0,626.231636
1348,59,English_BI,1,1,0,0,1670.96682
740,66,English_BI,1,0,0,0,967.279087
1336,62,English_NA,2,0,0.275362319,0.246753247,505.859585
72,7,English_NA,2,1,0.202898551,0.189189189,31.063002
1325,34,English_NA,2,0,0.15942029,0.1375,518.005572
1409,75,English_NA,2,0,0.15942029,0.154929577,724.419108
1216,6,English_NA,2,0,0.144927536,0.142857143,762.230974
737,26,English_NA,2,0,0.130434783,0.121621622,46.8142113
875,59,English_NA,2,1,0.130434783,0.130434783,1361.8055
951,18,English_NA,2,0,0.115942029,0.115942029,1324.03932
1335,84,English_NA,2,1,0.115942029,0.111111111,1470.65078
1333,71,English_NA,2,1,0.101449275,0.1,1610.3279
1345,80,English_NA,2,1,0.101449275,0.1,875.384565
747,27,English_NA,2,1,0.086956522,0.086956522,35.1567265
1996,43,English_NA,2,1,0.086956522,0.086956522,878.243866
1342,76,English_NA,2,1,0.086956522,0.084507042,1947.00815
1666,88,English_NA,2,1,0.086956522,0.086956522,1403.6004
526,18,English_NA,2,0,0.072463768,0.071428571,1276.66907
585,20,English_NA,2,0,0.072463768,0.071428571,768.99006
2047,22,English_NA,2,1,0.072463768,0.072463768,246.903891
2165,24,English_NA,2,0,0.072463768,0.070422535,879.415258
1100,48,English_NA,2,0,0.072463768,0.072463768,954.350414
663,56,English_NA,2,0,0.072463768,0.067567568,992.143499
2028,82,English_NA,2,0,0.072463768,0.071428571,715.847313
93,18,English_NA,2,1,0.057971014,0.057971014,1002.61364
986,20,English_NA,2,0,0.057971014,0.057142857,311.437556
1471,20,English_NA,2,1,0.057971014,0.057971014,56.0300118
861,23,English_NA,2,0,0.057971014,0.056338028,7.28324663
534,28,English_NA,2,0,0.057971014,0.057971014,199.180495
147,42,English_NA,2,1,0.057971014,0.057142857,1647.12873
1341,48,English_NA,2,1,0.057971014,0.055555556,1501.13731
83,57,English_NA,2,0,0.057971014,0.057971014,562.719151
95,60,English_NA,2,0,0.057971014,0.057971014,992.449223
142,73,English_NA,2,0,0.057971014,0.057971014,1555.96747
2029,81,English_NA,2,1,0.057971014,0.057142857,722.22203
1339,82,English_NA,2,1,0.057971014,0.056338028,1374.68322
446,19,English_NA,2,0,0.043478261,0.043478261,785.440511
1256,19,English_NA,2,0,0.043478261,0.042857143,403.408543
1560,19,English_NA,2,0,0.043478261,0.042857143,931.795911
1958,20,English_NA,2,1,0.043478261,0.043478261,643.198715
511,20,English_NA,2,0,0.043478261,0.043478261,1056.12383
427,21,English_NA,2,0,0.043478261,0.043478261,618.416783
73,21,English_NA,2,0,0.043478261,0.042857143,711.14966
855,21,English_NA,2,0,0.043478261,0.043478261,60.8563827
1641,22,English_NA,2,0,0.043478261,0.042857143,1074.87972
705,23,English_NA,2,1,0.043478261,0.042857143,1314.78556
850,29,English_NA,2,1,0.043478261,0.043478261,541.145984
62,35,English_NA,2,1,0.043478261,0.042857143,1149.27079
85,37,English_NA,2,1,0.043478261,0.043478261,671.829837
129,37,English_NA,2,0,0.043478261,0.041666667,891.648985
75,39,English_NA,2,1,0.043478261,0.043478261,1043.28043
2124,46,English_NA,2,0,0.043478261,0.042857143,633.411963
132,52,English_NA,2,0,0.043478261,0.043478261,148.665109
105,52,English_NA,2,0,0.043478261,0.042857143,606.636533
86,54,English_NA,2,0,0.043478261,0.043478261,1031.34459
1995,56,English_NA,2,0,0.043478261,0.043478261,470.734271
876,60,English_NA,2,0,0.043478261,0.042253521,1434.36808
74,79,English_NA,2,0,0.043478261,0.043478261,1178.76534
1343,83,English_NA,2,1,0.043478261,0.042857143,1720.77984
2050,84,English_NA,2,1,0.043478261,0.043478261,960.761673
1888,18,English_NA,2,1,0.028985507,0.028985507,1049.22484
139,18,English_NA,2,1,0.028985507,0.028985507,1167.41936
153,18,English_NA,2,0,0.028985507,0.028985507,808.470063
528,18,English_NA,2,0,0.028985507,0.028985507,1103.78001
1259,19,English_NA,2,0,0.028985507,0.028571429,1284.15829
517,19,English_NA,2,0,0.028985507,0.028985507,432.00003
567,19,English_NA,2,0,0.028985507,0.028985507,422.689807
631,19,English_NA,2,0,0.028985507,0.028985507,395.765725
905,20,English_NA,2,0,0.028985507,0.028985507,161.289327
802,21,English_NA,2,1,0.028985507,0.028985507,1292.31019
639,21,English_NA,2,1,0.028985507,0.028985507,1355.19471
1331,21,English_NA,2,1,0.028985507,0.028985507,785.862656
1720,21,English_NA,2,0,0.028985507,0.028985507,57.978398
522,22,English_NA,2,0,0.028985507,0.028571429,11.2543031
1559,22,English_NA,2,1,0.028985507,0.028985507,1017.58247
1533,23,English_NA,2,1,0.028985507,0.028985507,1235.9128
1395,24,English_NA,2,1,0.028985507,0.028985507,1246.71927
1120,26,English_NA,2,1,0.028985507,0.028985507,756.41387
1538,27,English_NA,2,0,0.028985507,0.028985507,982.74782
161,31,English_NA,2,0,0.028985507,0.028571429,238.254767
455,32,English_NA,2,1,0.028985507,0.028985507,1061.7663
1319,32,English_NA,2,1,0.028985507,0.028985507,844.510803
504,36,English_NA,2,1,0.028985507,0.028169014,287.80921
1340,39,English_NA,2,0,0.028985507,0.028571429,905.258337
162,42,English_NA,2,0,0.028985507,0.028571429,1241.18627
121,45,English_NA,2,1,0.028985507,0.028985507,1232.10327
679,45,English_NA,2,1,0.028985507,0.028571429,1601.04716
1086,45,English_NA,2,1,0.028985507,0.028571429,1302.73069
1360,47,English_NA,2,0,0.028985507,0.028985507,2084.27116
164,52,English_NA,2,1,0.028985507,0.028571429,1086.83501
678,53,English_NA,2,0,0.028985507,0.028571429,48.9452543
444,56,English_NA,2,0,0.028985507,0.028169014,700.646147
1327,57,English_NA,2,0,0.028985507,0.028571429,1279.2171
1235,60,English_NA,2,0,0.028985507,0.028985507,1415.24529
110,62,English_NA,2,0,0.028985507,0.028985507,804.311841
1997,63,English_NA,2,0,0.028985507,0.028571429,1186.79947
84,71,English_NA,2,0,0.028985507,0.028169014,454.967015
546,75,English_NA,2,1,0.028985507,0.028985507,32.6692776
1218,84,English_NA,2,1,0.028985507,0.028985507,885.762296
503,18,English_NA,2,1,0.014492754,0.014492754,1163.71543
1246,18,English_NA,2,0,0.014492754,0.014492754,1707.02278
1493,18,English_NA,2,1,0.014492754,0.014492754,823.850059
67,18,English_NA,2,1,0.014492754,0.014492754,995.455821
551,18,English_NA,2,0,0.014492754,0.014492754,119.340934
573,18,English_NA,2,1,0.014492754,0.014285714,751.053566
840,18,English_NA,2,1,0.014492754,0.014285714,563.113976
921,18,English_NA,2,1,0.014492754,0.014492754,285.343176
1637,18,English_NA,2,0,0.014492754,0.014492754,984.156479
1890,19,English_NA,2,0,0.014492754,0.014492754,1267.80614
416,19,English_NA,2,0,0.014492754,0.014492754,913.912516
673,19,English_NA,2,0,0.014492754,0.014492754,917.025681
1071,19,English_NA,2,0,0.014492754,0.014492754,466.692522
1668,19,English_NA,2,0,0.014492754,0.014492754,781.428549
113,20,English_NA,2,0,0.014492754,0.014492754,1285.56799
1212,20,English_NA,2,1,0.014492754,0.014285714,975.254917
1801,20,English_NA,2,1,0.014492754,0.014492754,519.017108
2046,21,English_NA,2,0,0.014492754,0.014285714,1313.80973
92,21,English_NA,2,0,0.014492754,0.014492754,1109.50649
137,21,English_NA,2,0,0.014492754,0.014492754,744.361965
66,21,English_NA,2,0,0.014492754,0.014492754,761.175138
465,21,English_NA,2,0,0.014492754,0.014492754,987.987132
977,21,English_NA,2,1,0.014492754,0.014492754,1161.49751
1207,21,English_NA,2,1,0.014492754,0.014492754,959.863604
2059,22,English_NA,2,1,0.014492754,0.014285714,1188.95987
791,22,English_NA,2,0,0.014492754,0.014492754,741.994153
2055,23,English_NA,2,0,0.014492754,0.014492754,723.170672
497,23,English_NA,2,0,0.014492754,0.014285714,621.181556
821,23,English_NA,2,0,0.014492754,0.014285714,1204.93995
1224,23,English_NA,2,1,0.014492754,0.014492754,525.769428
1226,23,English_NA,2,0,0.014492754,0.014492754,1868.7792
1528,23,English_NA,2,0,0.014492754,0.014492754,674.926928
572,24,English_NA,2,0,0.014492754,0.014285714,1194.36759
1358,24,English_NA,2,1,0.014492754,0.014492754,823.364375
775,25,English_NA,2,0,0.014492754,0.014285714,1588.28541
824,25,English_NA,2,0,0.014492754,0.014492754,1095.09914
856,25,English_NA,2,1,0.014492754,0.014492754,743.440718
1121,25,English_NA,2,0,0.014492754,0.014492754,712.026122
1786,25,English_NA,2,0,0.014492754,0.014285714,568.957397
2162,26,English_NA,2,1,0.014492754,0.014492754,961.525988
793,26,English_NA,2,1,0.014492754,0.014285714,1318.96983
815,26,English_NA,2,0,0.014492754,0.014492754,806.666655
1618,27,English_NA,2,0,0.014492754,0.014285714,765.76047
1174,28,English_NA,2,0,0.014492754,0.014492754,567.869097
1312,28,English_NA,2,0,0.014492754,0.014492754,496.715838
1384,29,English_NA,2,0,0.014492754,0.014492754,1062.97643
124,30,English_NA,2,0,0.014492754,0.014492754,245.91227
1640,30,English_NA,2,0,0.014492754,0.014492754,210.641562
1735,30,English_NA,2,1,0.014492754,0.014285714,440.070789
527,31,English_NA,2,0,0.014492754,0.014492754,889.677017
890,31,English_NA,2,0,0.014492754,0.014492754,728.745156
1372,31,English_NA,2,1,0.014492754,0.014492754,1007.83791
1390,31,English_NA,2,0,0.014492754,0.014492754,410.484571
1530,31,English_NA,2,0,0.014492754,0.014492754,1424.65617
637,32,English_NA,2,0,0.014492754,0.014492754,692.441125
1176,32,English_NA,2,0,0.014492754,0.014492754,1596.30417
1326,32,English_NA,2,1,0.014492754,0.014492754,953.040706
1375,32,English_NA,2,0,0.014492754,0.014492754,591.442466
1876,33,English_NA,2,0,0.014492754,0.014492754,1031.47499
1122,33,English_NA,2,0,0.014492754,0.014492754,1073.49727
487,34,English_NA,2,1,0.014492754,0.014492754,744.595113
538,35,English_NA,2,0,0.014492754,0.014492754,830.477704
1242,37,English_NA,2,0,0.014492754,0.014492754,638.633056
734,38,English_NA,2,0,0.014492754,0.014492754,1136.65288
748,38,English_NA,2,1,0.014492754,0.014492754,579.650792
2113,39,English_NA,2,0,0.014492754,0.014285714,1245.87648
408,39,English_NA,2,1,0.014492754,0.014492754,588.81091
605,39,English_NA,2,1,0.014492754,0.014285714,8.98724685
552,43,English_NA,2,0,0.014492754,0.014492754,807.604235
799,44,English_NA,2,0,0.014492754,0.014492754,1144.38781
1137,46,English_NA,2,0,0.014492754,0.014492754,1615.94056
1217,46,English_NA,2,1,0.014492754,0.014492754,672.295126
154,48,English_NA,2,1,0.014492754,0.014285714,137.52631
1926,50,English_NA,2,1,0.014492754,0.014492754,1511.78504
91,50,English_NA,2,1,0.014492754,0.014492754,1302.94276
795,52,English_NA,2,1,0.014492754,0.014285714,1007.85347
76,53,English_NA,2,0,0.014492754,0.014492754,1439.40414
1188,53,English_NA,2,0,0.014492754,0.014492754,914.008612
1819,54,English_NA,2,1,0.014492754,0.014492754,1009.3987
159,55,English_NA,2,1,0.014492754,0.014492754,65.6727252
407,57,English_NA,2,0,0.014492754,0.014492754,1165.77525
1337,58,English_NA,2,1,0.014492754,0.014285714,1421.89083
98,59,English_NA,2,1,0.014492754,0.014492754,1392.24975
1962,60,English_NA,2,0,0.014492754,0.014492754,701.489071
445,60,English_NA,2,1,0.014492754,0.014492754,2218.41155
104,63,English_NA,2,1,0.014492754,0.014285714,1603.71444
114,63,English_NA,2,0,0.014492754,0.014492754,495.817286
1658,64,English_NA,2,1,0.014492754,0.014492754,1262.98211
456,65,English_NA,2,0,0.014492754,0.014285714,1111.31051
586,68,English_NA,2,0,0.014492754,0.014492754,757.348833
1667,74,English_NA,2,1,0.014492754,0.014285714,1146.62268
2049,90,English_NA,2,0,0.014492754,0.014285714,557.195309
64,18,English_NA,2,1,0,0,1210.58383
541,18,English_NA,2,0,0,0,246.574584
1070,18,English_NA,2,1,0,0,333.865806
1893,18,English_NA,2,1,0,0,1912.87156
1960,18,English_NA,2,1,0,0,1096.80391
122,18,English_NA,2,0,0,0,1122.74432
152,18,English_NA,2,0,0,0,695.678742
160,18,English_NA,2,0,0,0,582.327294
540,18,English_NA,2,1,0,0,1265.78212
555,18,English_NA,2,0,0,0,93.5846388
597,18,English_NA,2,1,0,0,1576.23007
749,18,English_NA,2,1,0,0,1088.37731
764,18,English_NA,2,1,0,0,1099.62265
767,18,English_NA,2,0,0,0,783.286638
871,18,English_NA,2,1,0,0,852.130332
899,18,English_NA,2,0,0,0,964.870448
1208,18,English_NA,2,1,0,0,132.800109
123,19,English_NA,2,0,0,0,1388.01784
1661,19,English_NA,2,0,0,0,1066.11931
1959,19,English_NA,2,1,0,0,1101.28505
2056,19,English_NA,2,1,0,0,671.365618
128,19,English_NA,2,0,0,0,867.203423
617,19,English_NA,2,0,0,0,67.5381534
983,19,English_NA,2,1,0,0,871.494939
1222,19,English_NA,2,0,0,0,59.5365909
1232,19,English_NA,2,1,0,0,1170.54685
1277,19,English_NA,2,1,0,0,1247.0153
1416,19,English_NA,2,1,0,0,1323.1525
1524,19,English_NA,2,1,0,0,1213.83197
1550,19,English_NA,2,1,0,0,54.6108063
1895,20,English_NA,2,0,0,0,1115.97777
2060,20,English_NA,2,1,0,0,1061.2913
134,20,English_NA,2,0,0,0,1210.41551
141,20,English_NA,2,1,0,0,1963.31023
490,20,English_NA,2,1,0,0,1407.10854
912,20,English_NA,2,1,0,0,1029.38142
939,20,English_NA,2,0,0,0,768.296523
1233,20,English_NA,2,0,0,0,228.224082
1280,20,English_NA,2,1,0,0,2711.07168
1492,20,English_NA,2,1,0,0,1336.68763
1564,20,English_NA,2,0,0,0,1352.05145
1674,20,English_NA,2,0,0,0,745.221351
1718,20,English_NA,2,0,0,0,1022.34939
1956,21,English_NA,2,1,0,0,999.241916
1957,21,English_NA,2,1,0,0,885.663221
125,21,English_NA,2,0,0,0,1493.35396
133,21,English_NA,2,0,0,0,372.195749
542,21,English_NA,2,1,0,0,1147.98031
563,21,English_NA,2,0,0,0,917.308754
884,21,English_NA,2,0,0,0,1755.41246
889,21,English_NA,2,0,0,0,105.283128
1477,21,English_NA,2,0,0,0,1176.97739
1534,21,English_NA,2,0,0,0,2305.60821
1548,21,English_NA,2,1,0,0,540.276081
1728,21,English_NA,2,1,0,0,1238.64353
1887,22,English_NA,2,1,0,0,730.225337
1955,22,English_NA,2,1,0,0,837.643629
157,22,English_NA,2,1,0,0,1188.39028
158,22,English_NA,2,1,0,0,1050.77109
163,22,English_NA,2,0,0,0,924.183866
65,22,English_NA,2,0,0,0,1132.54561
507,22,English_NA,2,0,0,0,635.785055
662,22,English_NA,2,0,0,0,684.105515
667,22,English_NA,2,1,0,0,1156.16888
801,22,English_NA,2,1,0,0,499.931339
1052,22,English_NA,2,1,0,0,0.02369459
1236,22,English_NA,2,1,0,0,1203.01674
1308,22,English_NA,2,0,0,0,1086.42083
1716,22,English_NA,2,1,0,0,4.28753593
1726,22,English_NA,2,0,0,0,2044.28916
1257,23,English_NA,2,1,0,0,1570.82107
1933,23,English_NA,2,1,0,0,935.991691
2043,23,English_NA,2,1,0,0,1000.75893
63,23,English_NA,2,1,0,0,1774.30005
574,23,English_NA,2,1,0,0,460.376319
684,23,English_NA,2,1,0,0,2095.83041
937,23,English_NA,2,0,0,0,502.184932
1206,23,English_NA,2,1,0,0,409.262177
1423,23,English_NA,2,1,0,0,1590.19358
519,24,English_NA,2,0,0,0,1001.54964
2101,24,English_NA,2,0,0,0,955.408629
729,24,English_NA,2,0,0,0,693.420668
863,24,English_NA,2,0,0,0,1287.14368
1239,24,English_NA,2,1,0,0,663.329833
1258,24,English_NA,2,0,0,0,55.1453644
1469,24,English_NA,2,0,0,0,1313.43109
1531,24,English_NA,2,0,0,0,1712.71649
126,25,English_NA,2,1,0,0,1408.56107
508,25,English_NA,2,0,0,0,1706.0437
1067,25,English_NA,2,0,0,0,393.154602
1886,25,English_NA,2,1,0,0,1299.36007
1907,25,English_NA,2,1,0,0,1086.63757
510,25,English_NA,2,1,0,0,1434.91492
664,25,English_NA,2,0,0,0,1194.9778
1648,26,English_NA,2,1,0,0,1486.98697
420,26,English_NA,2,1,0,0,1173.26752
509,26,English_NA,2,0,0,0,1267.53983
668,26,English_NA,2,1,0,0,813.280636
982,26,English_NA,2,1,0,0,1420.5922
1132,26,English_NA,2,0,0,0,8.70717476
1371,26,English_NA,2,1,0,0,1004.11248
820,27,English_NA,2,0,0,0,1112.81369
1727,27,English_NA,2,0,0,0,439.219327
1961,27,English_NA,2,1,0,0,1523.58654
2080,27,English_NA,2,1,0,0,1468.17917
78,27,English_NA,2,1,0,0,796.802025
618,27,English_NA,2,0,0,0,649.661622
636,27,English_NA,2,1,0,0,1760.28505
1205,27,English_NA,2,0,0,0,1352.63619
1297,27,English_NA,2,0,0,0,965.801273
1303,27,English_NA,2,1,0,0,576.704385
1385,27,English_NA,2,0,0,0,1060.76117
1719,27.5,English_NA,2,0,0,0,1041.34956
469,28,English_NA,2,1,0,0,1541.48405
1119,28,English_NA,2,0,0,0,1196.54692
1172,29,English_NA,2,0,0,0,1428.63771
1925,29,English_NA,2,1,0,0,946.543154
1928,29,English_NA,2,1,0,0,1398.44161
1951,29,English_NA,2,1,0,0,1369.22988
111,29,English_NA,2,1,0,0,939.295315
1552,29,English_NA,2,1,0,0,1281.14379
1657,29,English_NA,2,1,0,0,1163.43158
89,30,English_NA,2,1,0,0,1089.82545
2061,30,English_NA,2,1,0,0,2039.4004
120,30,English_NA,2,0,0,0,867.974082
145,30,English_NA,2,0,0,0,1205.84583
583,30,English_NA,2,0,0,0,1970.02724
720,30,English_NA,2,0,0,0,1740.77309
1374,30,English_NA,2,1,0,0,1386.5667
1411,30,English_NA,2,1,0,0,633.405235
1799,30,English_NA,2,1,0,0,1612.77457
1173,31,English_NA,2,1,0,0,2078.86517
1970,31,English_NA,2,0,0,0,156.199635
1410,31,English_NA,2,0,0,0,777.430823
1659,31,English_NA,2,1,0,0,1565.50467
1818,31,English_NA,2,1,0,0,1481.4416
1276,32,English_NA,2,0,0,0,2919.65927
1875,32,English_NA,2,1,0,0,526.171868
2074,32,English_NA,2,0,0,0,1470.56633
138,32,English_NA,2,0,0,0,157.215414
798,32,English_NA,2,1,0,0,1581.59388
825,32,English_NA,2,0,0,0,1049.20049
1214,32,English_NA,2,1,0,0,776.618081
1430,32,English_NA,2,1,0,0,824.317886
835,33,English_NA,2,0,0,0,1184.76809
952,33,English_NA,2,0,0,0,364.971869
1225,33,English_NA,2,0,0,0,11.2342733
1656,33,English_NA,2,1,0,0,2014.1258
1323,34,English_NA,2,1,0,0,921.683276
535,35,English_NA,2,0,0,0,1107.46651
79,37,English_NA,2,1,0,0,1192.04348
1934,38,English_NA,2,1,0,0,927.364511
2170,38,English_NA,2,1,0,0,1223.39672
442,38,English_NA,2,1,0,0,1407.17093
480,38,English_NA,2,0,0,0,757.79712
1051,38,English_NA,2,0,0,0,28.6651061
1110,38,English_NA,2,1,0,0,1610.75017
1320,38,English_NA,2,1,0,0,587.188946
1969,39,English_NA,2,1,0,0,794.435137
489,39,English_NA,2,0,0,0,1271.69651
858,39,English_NA,2,0,0,0,670.30895
1113,40,English_NA,2,1,0,0,717.537855
115,40,English_NA,2,1,0,0,945.105215
523,40,English_NA,2,1,0,0,157.537097
554,40,English_NA,2,0,0,0,747.018265
1078,41,English_NA,2,0,0,0,1746.71024
548,41,English_NA,2,1,0,0,112.781214
547,41,English_NA,2,0,0,0,76.4396582
2106,42,English_NA,2,1,0,0,284.835314
61,42,English_NA,2,0,0,0,1824.45086
518,42,English_NA,2,0,0,0,15.6404338
606,42,English_NA,2,1,0,0,2136.93922
81,43,English_NA,2,0,0,0,667.726988
109,43,English_NA,2,0,0,0,519.799473
550,43,English_NA,2,1,0,0,1300.78252
1321,43,English_NA,2,0,0,0,1089.40268
1555,43,English_NA,2,0,0,0,817.859441
1546,44,English_NA,2,0,0,0,966.688912
1563,44,English_NA,2,1,0,0,1669.22362
1802,44,English_NA,2,1,0,0,1021.46984
695,46,English_NA,2,0,0,0,19.9364617
907,46,English_NA,2,0,0,0,1359.93824
1315,46,English_NA,2,0,0,0,362.62805
103,47,English_NA,2,0,0,0,320.339113
1884,47,English_NA,2,1,0,0,843.770439
127,47,English_NA,2,0,0,0,636.278811
739,48,English_NA,2,1,0,0,1588.05673
919,48,English_NA,2,1,0,0,644.114511
794,49,English_NA,2,0,0,0,1417.27152
146,50,English_NA,2,1,0,0,2141.9739
150,50,English_NA,2,0,0,0,367.378278
556,50,English_NA,2,1,0,0,1272.12661
590,50,English_NA,2,0,0,0,252.7353
918,50,English_NA,2,1,0,0,38.2477583
2121,51,English_NA,2,0,0,0,1411.25677
1908,52,English_NA,2,1,0,0,1092.28889
2077,52,English_NA,2,0,0,0,1109.77124
130,52,English_NA,2,0,0,0,73.8128385
1163,52,English_NA,2,0,0,0,1053.05898
116,53,English_NA,2,1,0,0,1440.57304
155,53,English_NA,2,0,0,0,1057.1988
1571,53,English_NA,2,1,0,0,1743.56203
87,54,English_NA,2,1,0,0,1693.88787
1220,54,English_NA,2,0,0,0,1603.45136
1873,55,English_NA,2,1,0,0,1230.74093
1413,55,English_NA,2,1,0,0,1167.11679
1330,56,English_NA,2,1,0,0,1354.43072
1872,57,English_NA,2,0,0,0,1424.23543
584,57,English_NA,2,0,0,0,1928.30498
1665,58,English_NA,2,0,0,0,641.40876
1075,59,English_NA,2,0,0,0,670.553666
94,60,English_NA,2,1,0,0,2281.91415
1532,60,English_NA,2,0,0,0,51.7171964
2167,63,English_NA,2,1,0,0,1841.15972
674,63,English_NA,2,1,0,0,1777.20796
1361,64,English_NA,2,0,0,0,750.667726
1664,64,English_NA,2,1,0,0,801.914802
1734,64,English_NA,2,1,0,0,1593.28439
1803,66,English_NA,2,1,0,0,1162.43432
112,67,English_NA,2,0,0,0,243.291284
1412,68,English_NA,2,1,0,0,1349.12827
1332,70,English_NA,2,1,0,0,1277.96326
106,73,English_NA,2,0,0,0,699.625987
1334,74,English_NA,2,0,0,0,1659.34349
107,76,English_NA,2,1,0,0,1389.47691
818,77,English_NA,2,1,0,0,180.678004
1328,77,English_NA,2,1,0,0,1915.71896
1307,80,English_NA,2,0,0,0,1476.38699
1324,85,English_NA,2,0,0,0,1016.89925
2103,86,English_NA,2,1,0,0,2363.33538
