speakerid,native_language,native_lang_code,age,wer,mer,L1_American,L1_Australian,L1_British,L1_Canadian,sex_0,sex_1
3034,American,10,23,0.043478261,0.043478261,1,0,0,0,0,1
2919,American,10,26,0.043478261,0.043478261,1,0,0,0,0,1
2897,American,10,21,0.043478261,0.043478261,1,0,0,0,0,1
2896,American,10,26,0.043478261,0.043478261,1,0,0,0,1,0
2805,American,10,27,0.043478261,0.043478261,1,0,0,0,1,0
2165,American,10,33,0.043478261,0.043478261,1,0,0,0,1,0
2077,American,10,25,0.043478261,0.043478261,1,0,0,0,1,0
2061,American,10,18,0.043478261,0.043478261,1,0,0,0,0,1
2053,American,10,41,0.043478261,0.043478261,1,0,0,0,1,0
1312,American,10,40,0.043478261,0.043478261,1,0,0,0,0,1
1256,American,10,46,0.043478261,0.043478261,1,0,0,0,1,0
1242,American,10,29,0.043478261,0.043478261,1,0,0,0,1,0
1220,American,10,31,0.043478261,0.043478261,1,0,0,0,0,1
986,American,10,28,0.043478261,0.043478261,1,0,0,0,1,0
775,American,10,18,0.043478261,0.043478261,1,0,0,0,1,0
585,American,10,23,0.043478261,0.043478261,1,0,0,0,0,1
567,American,10,19,0.043478261,0.043478261,1,0,0,0,1,0
487,American,10,59,0.043478261,0.043478261,1,0,0,0,0,1
442,American,10,47,0.043478261,0.043478261,1,0,0,0,1,0
439,American,10,18,0.043478261,0.043478261,1,0,0,0,0,1
153,American,10,27,0.043478261,0.043478261,1,0,0,0,1,0
128,American,10,26,0.043478261,0.043478261,1,0,0,0,0,1
110,American,10,19,0.043478261,0.043478261,1,0,0,0,1,0
98,American,10,27,0.043478261,0.043478261,1,0,0,0,1,0
96,American,10,26,0.043478261,0.043478261,1,0,0,0,0,1
91,American,10,70,0.043478261,0.043478261,1,0,0,0,1,0
83,American,10,22,0.043478261,0.043478261,1,0,0,0,1,0
76,American,10,62,0.043478261,0.043478261,1,0,0,0,0,1
74,American,10,20,0.043478261,0.043478261,1,0,0,0,1,0
2847,Australian,17,44,0.043478261,0.043478261,0,1,0,0,0,1
2570,Australian,17,20,0.043478261,0.043478261,0,1,0,0,1,0
2172,Australian,17,53,0.043478261,0.043478261,0,1,0,0,0,1
2104,Australian,17,18,0.043478261,0.043478261,0,1,0,0,1,0
1377,Australian,17,23,0.043478261,0.043478261,0,1,0,0,1,0
1362,Australian,17,30,0.043478261,0.043478261,0,1,0,0,1,0
1353,Australian,17,22,0.043478261,0.043478261,0,1,0,0,1,0
1288,Australian,17,26,0.043478261,0.043478261,0,1,0,0,1,0
1085,Australian,17,33,0.043478261,0.043478261,0,1,0,0,0,1
1060,Australian,17,29,0.043478261,0.043478261,0,1,0,0,0,1
961,Australian,17,64,0.043478261,0.043478261,0,1,0,0,0,1
909,Australian,17,31,0.043478261,0.043478261,0,1,0,0,0,1
902,Australian,17,64,0.043478261,0.043478261,0,1,0,0,0,1
151,Australian,17,58,0.043478261,0.043478261,0,1,0,0,1,0
140,Australian,17,88,0.043478261,0.043478261,0,1,0,0,0,1
2735,British,2,43,0.043478261,0.043478261,0,0,1,0,0,1
2195,British,2,63,0.043478261,0.043478261,0,0,1,0,1,0
2081,British,2,82,0.043478261,0.043478261,0,0,1,0,1,0
1650,British,2,81,0.043478261,0.043478261,0,0,1,0,0,1
1373,British,2,23,0.043478261,0.043478261,0,0,1,0,0,1
1293,British,2,21,0.043478261,0.043478261,0,0,1,0,1,0
1292,British,2,22,0.043478261,0.043478261,0,0,1,0,0,1
1241,British,2,90,0.043478261,0.043478261,0,0,1,0,1,0
1215,British,2,84,0.043478261,0.043478261,0,0,1,0,0,1
738,British,2,25,0.043478261,0.043478261,0,0,1,0,0,1
119,British,2,23,0.043478261,0.043478261,0,0,1,0,1,0
97,British,2,19,0.043478261,0.043478261,0,0,1,0,0,1
68,British,2,22,0.043478261,0.043478261,0,0,1,0,0,1
2162,Canadian,18,19,0.043478261,0.043478261,0,0,0,1,1,0
1302,Canadian,18,18,0.043478261,0.043478261,0,0,0,1,1,0
2924,American,10,24,0.043478261,0.042857143,1,0,0,0,1,0
2124,American,10,20,0.043478261,0.042857143,1,0,0,0,0,1
2113,American,10,21,0.043478261,0.042857143,1,0,0,0,1,0
1641,American,10,20,0.043478261,0.042857143,1,0,0,0,0,1
1340,American,10,19,0.043478261,0.042857143,1,0,0,0,0,1
1337,American,10,23,0.043478261,0.042857143,1,0,0,0,1,0
573,American,10,31,0.043478261,0.042857143,1,0,0,0,1,0
572,American,10,24,0.043478261,0.042857143,1,0,0,0,1,0
529,Australian,17,47,0.043478261,0.042857143,0,1,0,0,0,1
1544,British,2,29,0.043478261,0.042857143,0,0,1,0,1,0
521,British,2,20,0.043478261,0.042857143,0,0,1,0,0,1
