speakerid_x,L1,L1_coded,WER,MER,speech_type
3022,Dutch,2,0.294117647,0.294117647,2
3023,Dutch,2,0.306818182,0.291666667,2
3024,Dutch,2,0.301900585,0.290536948,2
3025,Dutch,2,0.289583333,0.289583333,2
3026,Dutch,2,0.286324786,0.26984127,2
3027,Dutch,2,0.25,0.25,2
3028,Dutch,2,0.243055556,0.243055556,2
3029,Dutch,2,0.241071429,0.241071429,2
3030,Dutch,2,0.23989899,0.23989899,2
3031,Dutch,2,0.237373737,0.237373737,2
3032,Dutch,2,0.211111111,0.211111111,2
3033,Dutch,2,0.208333333,0.208333333,2
3034,Dutch,2,0.2125,0.198863636,2
3035,Dutch,2,0.198412698,0.188888889,2
3036,Dutch,2,0.180555556,0.180555556,2
3037,Dutch,2,0.180147059,0.180147059,2
3038,Dutch,2,0.173611111,0.173611111,2
3039,Dutch,2,0.171428571,0.171428571,2
3040,Dutch,2,0.138888889,0.138888889,2
3041,Dutch,2,0.118055556,0.118055556,2
3042,Dutch,2,0.118055556,0.118055556,2
3043,Dutch,2,0.111111111,0.111111111,2
3044,Dutch,2,0.055555556,0.055555556,2
633,French,3,0.231884058,0.228571429,1
1643,French,3,0.202898551,0.197183099,1
811,French,3,0.173913043,0.169014085,1
1062,French,3,0.130434783,0.128571429,1
1945,French,3,0.115942029,0.115942029,1
1427,French,3,0.115942029,0.115942029,1
628,French,3,0.101449275,0.101449275,1
1662,French,3,0.101449275,0.1,1
1306,French,3,0.072463768,0.072463768,1
1938,French,3,0.057971014,0.057971014,1
181,French,3,0.057971014,0.056338028,1
1751,French,3,0.057971014,0.057971014,1
514,French,3,0.043478261,0.043478261,1
179,French,3,0.043478261,0.043478261,1
755,French,3,0.043478261,0.043478261,1
1429,French,3,0.043478261,0.043478261,1
1189,French,3,0.028985507,0.028985507,1
500,French,3,0.028985507,0.028985507,1
1304,French,3,0.028985507,0.028985507,1
1021,French,3,0.014492754,0.014492754,1
1535,French,3,0.014492754,0.014492754,1
860,French,3,0.014492754,0.014492754,1
629,French,3,0.014492754,0.014492754,1
1846,French,3,0,0,1
1830,French,3,0,0,1
1729,French,3,0,0,1
3045,French,3,0.5,0.5,2
3046,French,3,0.377777778,0.361111111,2
3047,French,3,0.360106383,0.360106383,2
3048,French,3,0.333333333,0.333333333,2
3049,French,3,0.266666667,0.266666667,2
3050,French,3,0.25,0.25,2
3051,French,3,0.233333333,0.233333333,2
3052,French,3,0.239583333,0.228219697,2
3053,French,3,0.2,0.2,2
3054,French,3,0.1875,0.1875,2
3055,French,3,0.184343434,0.184343434,2
3056,French,3,0.1875,0.173611111,2
3057,French,3,0.168055556,0.168055556,2
3058,French,3,0.156565657,0.156565657,2
3059,French,3,0.133928571,0.133928571,2
3060,French,3,0.132478632,0.132478632,2
3061,French,3,0.132411067,0.132411067,2
3062,French,3,0.126984127,0.126984127,2
3063,French,3,0.125,0.115384615,2
3064,French,3,0.094017094,0.094017094,2
3065,French,3,0.076923077,0.076923077,2
278,Polish,4,0.246376812,0.232876712,1
277,Polish,4,0.202898551,0.181818182,1
769,Polish,4,0.188405797,0.183098592,1
1651,Polish,4,0.15942029,0.157142857,1
1483,Polish,4,0.130434783,0.128571429,1
1745,Polish,4,0.115942029,0.114285714,1
1749,Polish,4,0.101449275,0.097222222,1
1654,Polish,4,0.101449275,0.1,1
728,Polish,4,0.086956522,0.086956522,1
958,Polish,4,0.086956522,0.085714286,1
1549,Polish,4,0.072463768,0.072463768,1
843,Polish,4,0.072463768,0.070422535,1
842,Polish,4,0.072463768,0.071428571,1
280,Polish,4,0.072463768,0.072463768,1
883,Polish,4,0.057971014,0.057142857,1
1245,Polish,4,0.043478261,0.042253521,1
1748,Polish,4,0.043478261,0.043478261,1
2064,Polish,4,0.028985507,0.028571429,1
482,Polish,4,0.028985507,0.028985507,1
2062,Polish,4,0.028985507,0.028571429,1
1737,Polish,4,0.028985507,0.028571429,1
1171,Polish,4,0.028985507,0.028571429,1
1278,Polish,4,0.014492754,0.014492754,1
1653,Polish,4,0.014492754,0.014492754,1
626,Polish,4,0.014492754,0.014492754,1
1652,Polish,4,0.014492754,0.014492754,1
1453,Polish,4,0.014492754,0.014492754,1
1918,Polish,4,0.014492754,0.014492754,1
1625,Polish,4,0,0,1
1738,Polish,4,0,0,1
1671,Polish,4,0,0,1
279,Polish,4,0,0,1
2085,Polish,4,0,0,1
841,Polish,4,0,0,1
3066,Polish,4,0.412698413,0.412698413,2
3067,Polish,4,0.333333333,0.333333333,2
3068,Polish,4,0.305555556,0.305555556,2
3069,Polish,4,0.316666667,0.303030303,2
3070,Polish,4,0.3125,0.291666667,2
3071,Polish,4,0.289814815,0.289814815,2
3072,Polish,4,0.277777778,0.277777778,2
3073,Polish,4,0.277272727,0.277272727,2
3074,Polish,4,0.266666667,0.266666667,2
3075,Polish,4,0.25,0.25,2
3076,Polish,4,0.216666667,0.216666667,2
3077,Polish,4,0.229166667,0.2125,2
3078,Polish,4,0.203485577,0.203485577,2
3079,Polish,4,0.198717949,0.198717949,2
3080,Polish,4,0.201623377,0.194047619,2
3081,Polish,4,0.185500842,0.185500842,2
3082,Polish,4,0.185500842,0.185500842,2
3083,Polish,4,0.155555556,0.155555556,2
3084,Polish,4,0.152777778,0.152777778,2
3085,Polish,4,0.139583333,0.139583333,2
3086,Polish,4,0.133928571,0.133928571,2
3087,Polish,4,0.126984127,0.126984127,2
3088,Polish,4,0.117816092,0.117816092,2
3089,Polish,4,0.101010101,0.101010101,2
1673,Thai,5,0.434782609,0.379746835,1
448,Thai,5,0.246376812,0.242857143,1
1055,Thai,5,0.246376812,0.242857143,1
371,Thai,5,0.231884058,0.231884058,1
898,Thai,5,0.231884058,0.222222222,1
1829,Thai,5,0.217391304,0.217391304,1
372,Thai,5,0.188405797,0.185714286,1
698,Thai,5,0.173913043,0.173913043,1
1103,Thai,5,0.144927536,0.142857143,1
2131,Thai,5,0.130434783,0.126760563,1
612,Thai,5,0.115942029,0.112676056,1
2066,Thai,5,0.115942029,0.115942029,1
1721,Thai,5,0.101449275,0.097222222,1
1488,Thai,5,0.072463768,0.070422535,1
373,Thai,5,0,0,1
3090,Thai,5,0.521008403,0.485714286,2
3091,Thai,5,0.50530303,0.417857143,2
3092,Thai,5,0.420512821,0.403846154,2
3093,Thai,5,0.395833333,0.395833333,2
3094,Thai,5,0.382539683,0.371428571,2
3095,Thai,5,0.365079365,0.365079365,2
3096,Thai,5,0.347222222,0.347222222,2
3097,Thai,5,0.419191919,0.341269841,2
3098,Thai,5,0.319444444,0.319444444,2
3099,Thai,5,0.303030303,0.303030303,2
3100,Thai,5,0.335227273,0.293269231,2
3101,Thai,5,0.308333333,0.290656566,2
3102,Thai,5,0.286363636,0.286363636,2
3103,Thai,5,0.263888889,0.263888889,2
3104,Thai,5,0.261363636,0.261363636,2
3105,Thai,5,0.259615385,0.25,2
3106,Thai,5,0.218253968,0.218253968,2
3107,Thai,5,0.151295564,0.151295564,2
3108,Thai,5,0.145833333,0.145833333,2
3109,Thai,5,0.083333333,0.083333333,2
3110,Thai,5,0.071428571,0.071428571,2
396,Vietnamese,6,0.536231884,0.521126761,1
400,Vietnamese,6,0.492753623,0.478873239,1
399,Vietnamese,6,0.391304348,0.375,1
1809,Vietnamese,6,0.376811594,0.361111111,1
1134,Vietnamese,6,0.289855072,0.289855072,1
2042,Vietnamese,6,0.289855072,0.281690141,1
397,Vietnamese,6,0.275362319,0.267605634,1
398,Vietnamese,6,0.260869565,0.257142857,1
1562,Vietnamese,6,0.15942029,0.15942029,1
1201,Vietnamese,6,0.15942029,0.154929577,1
395,Vietnamese,6,0.130434783,0.126760563,1
447,Vietnamese,6,0.130434783,0.128571429,1
2099,Vietnamese,6,0.101449275,0.1,1
1698,Vietnamese,6,0.101449275,0.1,1
2013,Vietnamese,6,0.086956522,0.086956522,1
401,Vietnamese,6,0.072463768,0.071428571,1
2151,Vietnamese,6,0.057971014,0.057142857,1
1940,Vietnamese,6,0.057971014,0.057142857,1
1192,Vietnamese,6,0.057971014,0.057971014,1
1529,Vietnamese,6,0.043478261,0.042857143,1
2010,Vietnamese,6,0.043478261,0.042253521,1
1850,Vietnamese,6,0.028985507,0.028985507,1
3111,Vietnamese,6,0.532738095,0.532738095,2
3112,Vietnamese,6,0.5,0.477272727,2
3113,Vietnamese,6,0.513888889,0.475,2
3114,Vietnamese,6,0.465277778,0.465277778,2
3115,Vietnamese,6,0.544444444,0.458333333,2
3116,Vietnamese,6,0.388888889,0.388888889,2
3117,Vietnamese,6,0.381818182,0.381818182,2
3118,Vietnamese,6,0.446111111,0.367986111,2
3119,Vietnamese,6,0.311111111,0.311111111,2
3120,Vietnamese,6,0.290909091,0.290909091,2
3121,Vietnamese,6,0.253968254,0.253968254,2
3122,Vietnamese,6,0.26010101,0.251207729,2
3123,Vietnamese,6,0.234615385,0.234615385,2
3124,Vietnamese,6,0.226190476,0.226190476,2
3125,Vietnamese,6,0.243055556,0.222222222,2
3126,Vietnamese,6,0.211111111,0.211111111,2
3127,Vietnamese,6,0.208333333,0.208333333,2
3128,Vietnamese,6,0.175403226,0.175403226,2
3129,Vietnamese,6,0.177777778,0.173611111,2
3130,Vietnamese,6,0.166666667,0.166666667,2
3131,Vietnamese,6,0.155608974,0.155608974,2
3132,Vietnamese,6,0.120192308,0.120192308,2
