speakerid,L1,sex_1,sex_0,MER,read,conversational
1899,Arabic,1,0,0.072463768,1,0
2974,Arabic,1,0,0.115942029,1,0
2752,Arabic,1,0,0.144927536,1,0
2411,Arabic,1,0,0.057971014,1,0
2313,Arabic,1,0,0.072463768,1,0
1963,Arabic,1,0,0.028985507,1,0
1012,Arabic,1,0,0.125,1,0
1300,Arabic,1,0,0.207792208,1,0
2911,Arabic,1,0,0.130434783,1,0
2908,Arabic,1,0,0.057142857,1,0
2765,Arabic,1,0,0.164383562,1,0
1810,Arabic,1,0,0.173913044,1,0
2100,Arabic,1,0,0.086956522,1,0
1900,Arabic,1,0,0.072463768,1,0
2544,Arabic,1,0,1,1,0
2157,Arabic,1,0,0.086956522,1,0
2904,Arabic,1,0,0.057142857,1,0
1699,Arabic,1,0,0.101449275,1,0
2907,Arabic,1,0,0.043478261,1,0
2858,Arabic,1,0,0.23943662,1,0
2387,Arabic,1,0,0.309859155,1,0
2222,Arabic,1,0,0.115942029,1,0
2022,Arabic,1,0,0.15942029,1,0
2794,Arabic,1,0,0.086956522,1,0
1828,Arabic,1,0,0.043478261,1,0
3020,Arabic,1,0,0.228571429,1,0
670,Arabic,1,0,0.072463768,1,0
1466,Dutch,1,0,0.014492754,1,0
2982,Dutch,1,0,0.028985507,1,0
2819,Dutch,1,0,0.086956522,1,0
1482,Dutch,1,0,0.202898551,1,0
1003,Dutch,1,0,0.072463768,1,0
847,Dutch,1,0,0.043478261,1,0
2115,Dutch,1,0,0.202898551,1,0
1479,Dutch,1,0,0.202898551,1,0
1263,Dutch,1,0,0.057971014,1,0
2249,Dutch,1,0,0.043478261,1,0
1743,Dutch,1,0,0.057971014,1,0
1740,Dutch,1,0,0.043478261,1,0
1481,Dutch,1,0,0.014492754,1,0
1476,Dutch,1,0,0.101449275,1,0
1261,Dutch,1,0,0.072463768,1,0
1260,Dutch,1,0,0.072463768,1,0
1004,Dutch,1,0,0.043478261,1,0
897,Dutch,1,0,0.043478261,1,0
896,Dutch,1,0,0.072463768,1,0
1473,Dutch,1,0,0.043478261,1,0
1463,Dutch,1,0,0.043478261,1,0
1274,Dutch,1,0,0.072463768,1,0
1271,Dutch,1,0,0.057971014,1,0
1270,Dutch,1,0,0.043478261,1,0
1266,Dutch,1,0,0.101449275,1,0
1265,Dutch,1,0,0.086956522,1,0
1264,Dutch,1,0,0.043478261,1,0
770,Dutch,1,0,0.043478261,1,0
2989,Dutch,1,0,0.086956522,1,0
1468,Dutch,1,0,0.086956522,1,0
1462,Dutch,1,0,0.028985507,1,0
1269,Dutch,1,0,0.072463768,1,0
2946,French,1,0,0.1,1,0
1938,French,1,0,0.101449275,1,0
1898,French,1,0,0.101449275,1,0
2814,French,1,0,0.085714286,1,0
658,French,1,0,0.057971014,1,0
2537,French,1,0,0.202898551,1,0
2536,French,1,0,0.15942029,1,0
1846,French,1,0,0.043478261,1,0
2740,French,1,0,0.057971014,1,0
2473,French,1,0,0.086956522,1,0
524,French,1,0,0.028985507,1,0
1998,French,1,0,0.028985507,1,0
1830,French,1,0,0.014492754,1,0
1304,French,1,0,0.014492754,1,0
1021,French,1,0,0.057971014,1,0
2787,French,1,0,0.028985507,1,0
2497,French,1,0,0.115942029,1,0
1945,French,1,0,0.043478261,1,0
1813,French,1,0,0.097222222,1,0
957,French,1,0,0.043478261,1,0
917,French,1,0,0.028985507,1,0
183,French,1,0,0.070422535,1,0
181,French,1,0,0.115942029,1,0
2984,French,1,0,0.086956522,1,0
2977,French,1,0,0.719512195,1,0
2973,French,1,0,0.086956522,1,0
2782,French,1,0,0.043478261,1,0
1889,French,1,0,0.072463768,1,0
1662,French,1,0,0.072463768,1,0
1545,French,1,0,0.115942029,1,0
932,French,1,0,0.014492754,1,0
179,French,1,0,0.043478261,1,0
2725,French,1,0,0.028985507,1,0
184,French,1,0,0.057971014,1,0
1429,French,1,0,0.043478261,1,0
1751,French,1,0,0.086956522,1,0
629,French,1,0,0.043478261,1,0
182,French,1,0,1,1,0
823,French,1,0,0.043478261,1,0
822,French,1,0,0.028985507,1,0
2394,French,1,0,0.086956522,1,0
1937,French,1,0,0.028985507,1,0
2464,French,1,0,0.014492754,1,0
2030,French,1,0,0.086956522,1,0
1509,French,1,0,0.057971014,1,0
2754,French,1,0,0.126760563,1,0
1625,Polish,1,0,0.014492754,1,0
2525,Polish,1,0,0.086956522,1,0
626,Polish,1,0,0.028985507,1,0
1749,Polish,1,0,0.086956522,1,0
1245,Polish,1,0,0.115942029,1,0
1745,Polish,1,0,0.057971014,1,0
1654,Polish,1,0,0.057142857,1,0
843,Polish,1,0,0.101449275,1,0
2085,Polish,1,0,0.028985507,1,0
279,Polish,1,0,0.028985507,1,0
1453,Polish,1,0,0.130434783,1,0
2194,Polish,1,0,0.202898551,1,0
842,Polish,1,0,0.101449275,1,0
841,Polish,1,0,0.028985507,1,0
280,Polish,1,0,0.072463768,1,0
1918,Polish,1,0,0.028985507,1,0
277,Polish,1,0,0.263157895,1,0
278,Polish,1,0,0.126760563,1,0
1103,Thai,1,0,0.028985507,1,0
2995,Thai,1,0,0.115942029,1,0
2548,Thai,1,0,0.115942029,1,0
2545,Thai,1,0,0.144927536,1,0
2541,Thai,1,0,0.246376812,1,0
2131,Thai,1,0,0.072463768,1,0
1829,Thai,1,0,0.144927536,1,0
448,Thai,1,0,0.173913044,1,0
2402,Thai,1,0,0.086956522,1,0
2066,Thai,1,0,0.086956522,1,0
898,Thai,1,0,1,1,0
371,Thai,1,0,0.15942029,1,0
2948,Thai,1,0,1,1,0
2683,Thai,1,0,0.323943662,1,0
2013,Vietnamese,1,0,0.043478261,1,0
2188,Vietnamese,1,0,0.144927536,1,0
2795,Vietnamese,1,0,0.114285714,1,0
1529,Vietnamese,1,0,0.072463768,1,0
397,Vietnamese,1,0,1,1,0
2325,Vietnamese,1,0,0.072463768,1,0
2010,Vietnamese,1,0,0.056338028,1,0
1940,Vietnamese,1,0,0.101449275,1,0
398,Vietnamese,1,0,0.115942029,1,0
2951,Vietnamese,1,0,0.15942029,1,0
2875,Vietnamese,1,0,0.101449275,1,0
1192,Vietnamese,1,0,0.130434783,1,0
401,Vietnamese,1,0,0.043478261,1,0
2853,Vietnamese,1,0,0.157142857,1,0
2851,Vietnamese,1,0,0.144927536,1,0
2042,Vietnamese,1,0,0.6,1,0
2596,Vietnamese,1,0,1,1,0
2828,Vietnamese,1,0,1,1,0
2,Polish,1,0,0.9375,0,1
3,Polish,1,0,0.708333333,0,1
4,Thai,1,0,0.164251208,0,1
5,Thai,1,0,0.170454545,0,1
6,French,1,0,0.1875,0,1
7,French,1,0,0.191666667,0,1
8,Arabic,1,0,0.205357143,0,1
9,Arabic,1,0,0.025,0,1
10,Dutch,1,0,0.222222222,0,1
11,Dutch,1,0,0.358851675,0,1
12,Vietnamese,1,0,0.145833333,0,1
13,Vietnamese,1,0,0.165384615,0,1
14,Thai,1,0,0.208333333,0,1
15,Thai,1,0,0.310897436,0,1
16,Polish,1,0,0.35,0,1
17,Polish,1,0,0.296969697,0,1
18,Thai,1,0,0.2,0,1
19,Thai,1,0,0.381313131,0,1
26,Polish,1,0,0.145833333,0,1
27,Polish,1,0,0.1,0,1
30,Vietnamese,1,0,0.362222222,0,1
31,Vietnamese,1,0,0.442857143,0,1
32,Thai,1,0,0.5,0,1
33,Thai,1,0,0.376190476,0,1
34,Vietnamese,1,0,0.6875,0,1
35,Vietnamese,1,0,0.875,0,1
36,Polish,1,0,0.126923077,0,1
37,Polish,1,0,0.203125,0,1
38,Thai,1,0,0.21969697,0,1
39,French,1,0,0.156565657,0,1
40,Polish,1,0,0.333333333,0,1
42,Thai,1,0,0.198863636,0,1
43,Vietnamese,1,0,0.226190476,0,1
48,Polish,1,0,0.101010101,0,1
50,Vietnamese,1,0,0.159498208,0,1
56,Arabic,1,0,0.5,0,1
57,Thai,1,0,0.341269841,0,1
59,Arabic,1,0,0.291666667,0,1
60,Dutch,1,0,0.25,0,1
61,Vietnamese,1,0,0.261111111,0,1
66,Dutch,1,0,0.138888889,0,1
67,Polish,1,0,0.348214286,0,1
68,Vietnamese,1,0,0.381818182,0,1
71,Dutch,1,0,0.430555556,0,1
73,French,1,0,0.666666667,0,1
75,Arabic,1,0,1,0,1
76,Dutch,1,0,0.352083333,0,1
78,Thai,1,0,0.0625,0,1
79,French,1,0,0.156565657,0,1
80,Arabic,1,0,0.200980392,0,1
81,Polish,1,0,0.625,0,1
85,French,1,0,0.208333333,0,1
86,Polish,1,0,0.198412698,0,1
88,Arabic,1,0,0.25,0,1
90,French,1,0,0.143280632,0,1
94,Arabic,1,0,1,0,1
97,Thai,1,0,0.396825397,0,1
98,Polish,1,0,0.237179487,0,1
101,Polish,1,0,0.172453704,0,1
102,Thai,1,0,0.286363636,0,1
107,Polish,1,0,0.26984127,0,1
109,Arabic,1,0,0.307142857,0,1
111,French,1,0,0.094017094,0,1
114,Vietnamese,1,0,0.369318182,0,1
116,Dutch,1,0,0.083333333,0,1
117,French,1,0,0.133928571,0,1
118,Arabic,1,0,0.532894737,0,1
120,Polish,1,0,0.155555556,0,1
121,Thai,1,0,0.476190476,0,1
123,French,1,0,0.173611111,0,1
125,Arabic,1,0,0.833333333,0,1
128,Dutch,1,0,0.555555556,0,1
130,Thai,1,0,0.303030303,0,1
136,Vietnamese,1,0,0.155555556,0,1
137,Dutch,1,0,0.171428571,0,1
138,Dutch,1,0,0.180555556,0,1
140,Dutch,1,0,0.276785714,0,1
142,Vietnamese,1,0,0.225,0,1
144,Arabic,1,0,0.358974359,0,1
145,Dutch,1,0,0.237373737,0,1
147,Arabic,1,0,0.358974359,0,1
148,French,1,0,0.494047619,0,1
152,Dutch,1,0,0.348039216,0,1
153,French,1,0,0.2,0,1
154,Vietnamese,1,0,0.208333333,0,1
155,French,1,0,0.126984127,0,1
